address,bathrooms,bedrooms,buildYear,floorAreaSqm,id,isAgentVerified,isVerifiedListing,listingFeatures/0,listingFeatures/1,listingFeatures/2,listingFeatures/3,listingFeatures/4,listingFeatures/5,mrt/nearbyText,postedOn,price,pricePerAreaText,pricePerSqm,propertyType,psfText,recencyText,tenure,thumbnail,title,url,room_category,row_index,listing_id,final_url,page_title,verdict
451A Bukit Batok West Avenue 6,1,1,Built: 2018,38,60224822,FALSE,FALSE,1,1,409 sqft,HDB Flat,99-year Leasehold,Built: 2018,15 min (1.2 km) from NS2 Bukit Batok MRT Station,18 Mar 2026,415000,"S$ 1,014.67 psf","S$ 1,014.67 psf",For Sale,"S$ 1,014.67 psf","Listed on Mar 18, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60224822/UPHO.158215091.V550/451A-Bukit-Batok-West-Avenue-6-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,451A Bukit Batok West Avenue 6,https://www.propertyguru.com.sg/listing/hdb-for-sale-451a-bukit-batok-west-avenue-6-60224822,1-room,0,60224822,https://www.propertyguru.com.sg/listing/hdb-for-sale-451a-bukit-batok-west-avenue-6-60224822,"451A Bukit Batok West Avenue 6 HDB Flat For Sale at S$ 400,000 | PropertyGuru Singapore",active_listing
76 Telok Blangah Drive,1,1,Built: 1977,44,500060411,FALSE,FALSE,1,1,475 sqft,HDB Flat,99-year Leasehold,Built: 1977,7 min (610 m) from CC28 Telok Blangah MRT Station,12 Mar 2026,328888,S$ 692.40 psf,S$ 692.40 psf,For Sale,S$ 692.40 psf,"Listed on Mar 12, 2026 (6d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500060411/UPHO.158664519.V550/76-Telok-Blangah-Drive-Harbourfront-Telok-Blangah-Singapore.jpg,76 Telok Blangah Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-76-telok-blangah-drive-500060411,1-room,1,500060411,https://www.propertyguru.com.sg/property-for-sale/at-76-telok-blangah-drive-11431,76 Telok Blangah Drive for Sale in Singapore,active_listing
14 Taman Ho Swee,1,1,Built: 1970,43,25428879,FALSE,FALSE,1,1,463 sqft,HDB Flat,99-year Leasehold,Built: 1970,4 min (350 m) from TE16 Havelock MRT Station,19 Mar 2026,328888,S$ 710.34 psf,S$ 710.34 psf,For Sale,S$ 710.34 psf,"Listed on Mar 19, 2026 (2h ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/25428879/UPHO.152545926.V550/14-Taman-Ho-Swee-Alexandra-Commonwealth-Singapore.jpg,14 Taman Ho Swee,https://www.propertyguru.com.sg/listing/hdb-for-sale-14-taman-ho-swee-25428879,1-room,2,25428879,https://www.propertyguru.com.sg/listing/hdb-for-sale-14-taman-ho-swee-25428879,"14 Taman Ho Swee HDB Flat For Sale at S$ 328,888 | PropertyGuru Singapore",active_listing
468A Bukit Batok West Avenue 9,1,1,Built: 2021,47,500065029,FALSE,TRUE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2021,14 min (1.14 km) from NS3 Bukit Gombak MRT Station,19 Mar 2026,329999,S$ 652.17 psf,S$ 652.17 psf,For Sale,S$ 652.17 psf,"Listed on Mar 19, 2026 (5h ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500065029/UPHO.158735215.V550/468A-Bukit-Batok-West-Avenue-9-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,468A Bukit Batok West Avenue 9,https://www.propertyguru.com.sg/listing/hdb-for-sale-468a-bukit-batok-west-avenue-9-500065029,1-room,3,500065029,https://www.propertyguru.com.sg/property-for-sale/at-468a-bukit-batok-west-avenue-9-25525,468A Bukit Batok West Avenue 9 for Sale in Singapore,active_listing
180D Rivervale Crescent,1,1,Built: 2013,47,60236988,FALSE,FALSE,1,1,505 sqft,HDB Flat,99-year Leasehold,Built: 2013,9 min (760 m) from SE2 Rumbia LRT Station,18 Mar 2026,400000,S$ 792.08 psf,S$ 792.08 psf,For Sale,S$ 792.08 psf,"Listed on Mar 18, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60236988/UPHO.158848943.V550/180D-Rivervale-Crescent-Hougang-Punggol-Sengkang-Singapore.jpg,180D Rivervale Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-180d-rivervale-crescent-60236988,1-room,4,60236988,https://www.propertyguru.com.sg/listing/hdb-for-sale-180d-rivervale-crescent-60236988,"180D Rivervale Crescent HDB Flat For Sale at S$ 400,000 | PropertyGuru Singapore",active_listing
232C Sumang Lane,1,1,Built: 2017,47,500074976,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2017,14 min (1.16 km) from PW7 Soo Teck LRT Station,18 Mar 2026,430000,S$ 849.80 psf,S$ 849.80 psf,For Sale,S$ 849.80 psf,"Listed on Mar 18, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500074976/UPHO.158885908.V550/232C-Sumang-Lane-Hougang-Punggol-Sengkang-Singapore.jpg,232C Sumang Lane,https://www.propertyguru.com.sg/listing/hdb-for-sale-232c-sumang-lane-500074976,1-room,5,500074976,https://www.propertyguru.com.sg/listing/hdb-for-sale-232c-sumang-lane-500074976,"232C Sumang Lane HDB Flat For Sale at S$ 430,000 | PropertyGuru Singapore",active_listing
96 Aljunied Crescent,1,1,Built: 1974,55,500080865,FALSE,FALSE,1,1,592 sqft,HDB Flat,99-year Leasehold,Built: 1974,11 min (890 m) from DT25 Mattar MRT Station,18 Mar 2026,368000,S$ 621.62 psf,S$ 621.62 psf,For Sale,S$ 621.62 psf,"Listed on Mar 18, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500080865/UPHO.158978733.V550/96-Aljunied-Crescent-Eunos-Geylang-Paya-Lebar-Singapore.jpg,96 Aljunied Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-96-aljunied-crescent-500080865,1-room,6,500080865,https://www.propertyguru.com.sg/listing/hdb-for-sale-96-aljunied-crescent-500080865,"96 Aljunied Crescent HDB Flat For Sale at S$ 368,000 | PropertyGuru Singapore",active_listing
460B Bukit Batok West Avenue 9,1,1,Built: 2019,48,500046700,FALSE,FALSE,1,1,516 sqft,HDB Flat,99-year Leasehold,Built: 2019,11 min (940 m) from JE2 Tengah Park MRT Station,17 Mar 2026,395000,S$ 765.50 psf,S$ 765.50 psf,For Sale,S$ 765.50 psf,"Listed on Mar 17, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500046700/UPHO.158455791.V550/460B-Bukit-Batok-West-Avenue-9-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,460B Bukit Batok West Avenue 9,https://www.propertyguru.com.sg/listing/hdb-for-sale-460b-bukit-batok-west-avenue-9-500046700,1-room,7,500046700,https://www.propertyguru.com.sg/listing/hdb-for-sale-460b-bukit-batok-west-avenue-9-500046700,"460B Bukit Batok West Avenue 9 HDB Flat For Sale at S$ 389,000 | PropertyGuru Singapore",active_listing
452 Yishun Ring Road,1,1,Built: 2010,47,500075990,FALSE,TRUE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2010,NA,17 Mar 2026,390000,S$ 770.75 psf,S$ 770.75 psf,For Sale,S$ 770.75 psf,"Listed on Mar 17, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500075990/UPHO.158901618.V550/452-Yishun-Ring-Road-Sembawang-Yishun-Singapore.jpg,452 Yishun Ring Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-452-yishun-ring-road-500075990,1-room,8,500075990,https://www.propertyguru.com.sg/listing/hdb-for-sale-452-yishun-ring-road-500075990,"452 Yishun Ring Road HDB Flat For Sale at S$ 380,000 | PropertyGuru Singapore",active_listing
468B Bukit Batok West Avenue 9,1,1,Built: 2021,38,60214224,FALSE,TRUE,1,1,409 sqft,HDB Flat,99-year Leasehold,Built: 2021,14 min (1.15 km) from NS3 Bukit Gombak MRT Station,17 Mar 2026,385000,S$ 941.32 psf,S$ 941.32 psf,For Sale,S$ 941.32 psf,"Listed on Mar 17, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60214224/UPHO.157971088.V550/468B-Bukit-Batok-West-Avenue-9-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,468B Bukit Batok West Avenue 9,https://www.propertyguru.com.sg/listing/hdb-for-sale-468b-bukit-batok-west-avenue-9-60214224,1-room,9,60214224,https://www.propertyguru.com.sg/listing/hdb-for-sale-468b-bukit-batok-west-avenue-9-60214224,"468B Bukit Batok West Avenue 9 HDB Flat For Sale at S$ 385,000 | PropertyGuru Singapore",active_listing
226B Ang Mo Kio Avenue 1,1,1,Built: 1976,66,500082126,FALSE,FALSE,1,1,710 sqft,HDB Flat,99-year Leasehold,Built: 1976,10 min (830 m) from TE6 Mayflower MRT Station,17 Mar 2026,438000,S$ 616.90 psf,S$ 616.90 psf,For Sale,S$ 616.90 psf,"Listed on Mar 17, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500082126/UPHO.159014901.V550/226B-Ang-Mo-Kio-Avenue-1-Ang-Mo-Kio-Bishan-Thomson-Singapore.jpg,226B Ang Mo Kio Avenue 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-226b-ang-mo-kio-avenue-1-500082126,1-room,10,500082126,https://www.propertyguru.com.sg/listing/hdb-for-sale-226b-ang-mo-kio-avenue-1-500082126,"226B Ang Mo Kio Avenue 1 HDB Flat For Sale at S$ 438,000 | PropertyGuru Singapore",active_listing
436A Bukit Batok West Avenue 5,1,1,Built: 2019,38,500010455,FALSE,FALSE,1,1,409 sqft,HDB Flat,99-year Leasehold,Built: 2019,12 min (1000 m) from JE2 Tengah Park MRT Station,17 Mar 2026,350000,S$ 855.75 psf,S$ 855.75 psf,For Sale,S$ 855.75 psf,"Listed on Mar 17, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500010455/UPHO.157615788.V550/436A-Bukit-Batok-West-Avenue-5-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,436A Bukit Batok West Avenue 5,https://www.propertyguru.com.sg/listing/hdb-for-sale-436a-bukit-batok-west-avenue-5-500010455,1-room,11,500010455,https://www.propertyguru.com.sg/listing/hdb-for-sale-436a-bukit-batok-west-avenue-5-500010455,"436A Bukit Batok West Avenue 5 HDB Flat For Sale at S$ 350,000 | PropertyGuru Singapore",active_listing
438C Bukit Batok West Avenue 8,1,1,Built: 2019,38,500033453,FALSE,TRUE,1,1,409 sqft,HDB Flat,99-year Leasehold,Built: 2019,14 min (1.19 km) from JE2 Tengah Park MRT Station,17 Mar 2026,360000,S$ 880.20 psf,S$ 880.20 psf,For Sale,S$ 880.20 psf,"Listed on Mar 17, 2026 (2d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500033453/UPHO.158215897.V550/438C-Bukit-Batok-West-Avenue-8-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,438C Bukit Batok West Avenue 8,https://www.propertyguru.com.sg/listing/hdb-for-sale-438c-bukit-batok-west-avenue-8-500033453,1-room,12,500033453,https://www.propertyguru.com.sg/listing/hdb-for-sale-438c-bukit-batok-west-avenue-8-500033453,"438C Bukit Batok West Avenue 8 HDB Flat For Sale at S$ 360,000 | PropertyGuru Singapore",active_listing
421B Northshore Drive,1,1,Built: 2021,38,500080810,FALSE,FALSE,1,1,409 sqft,HDB Flat,99-year Leasehold,Built: 2021,6 min (480 m) from PW3 Punggol Point LRT Station,17 Mar 2026,390000,S$ 953.55 psf,S$ 953.55 psf,For Sale,S$ 953.55 psf,"Listed on Mar 17, 2026 (2d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500080810/UPHO.158977920.V550/421B-Northshore-Drive-Serangoon-Thomson-D19-20-Singapore.jpg,421B Northshore Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-421b-northshore-drive-500080810,1-room,13,500080810,https://www.propertyguru.com.sg/listing/hdb-for-sale-421b-northshore-drive-500080810,"421B Northshore Drive HDB Flat For Sale at S$ 375,000 | PropertyGuru Singapore",active_listing
10 Jalan Kukoh,1,1,Built: 1970,53,500068272,FALSE,FALSE,1,1,570 sqft,HDB Flat,99-year Leasehold,Built: 1970,9 min (780 m) from NE4 Chinatown MRT Station,17 Mar 2026,338000,S$ 592.98 psf,S$ 592.98 psf,For Sale,S$ 592.98 psf,"Listed on Mar 17, 2026 (2d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500068272/UPHO.158784774.V550/10-Jalan-Kukoh-Alexandra-Commonwealth-Singapore.jpg,10 Jalan Kukoh,https://www.propertyguru.com.sg/listing/hdb-for-sale-10-jalan-kukoh-500068272,1-room,14,500068272,https://www.propertyguru.com.sg/listing/hdb-for-sale-10-jalan-kukoh-500068272,"10 Jalan Kukoh HDB Flat For Sale at S$ 338,000 | PropertyGuru Singapore",active_listing
421c punggol drive,1,1,NA,47,500074498,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,NA,5 min (410 m) from PW3 Punggol Point LRT Station,16 Mar 2026,528888,"S$ 1,045.23 psf","S$ 1,045.23 psf",For Sale,"S$ 1,045.23 psf","Listed on Mar 16, 2026 (2d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500074498/UPHO.158878494.V550/421c-northshore-421c-punggol-drive-Singapore.jpg,421c northshore,https://www.propertyguru.com.sg/listing/hdb-for-sale-421c-northshore-500074498,1-room,15,500074498,https://www.propertyguru.com.sg/listing/hdb-for-sale-421c-northshore-500074498,"421c punggol drive HDB Flat For Sale at S$ 508,888 | PropertyGuru Singapore",active_listing
424B Yishun Avenue 11,1,1,Built: 2014,47,500015384,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2014,NA,16 Mar 2026,365000,S$ 721.34 psf,S$ 721.34 psf,For Sale,S$ 721.34 psf,"Listed on Mar 16, 2026 (3d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500015384/UPHO.157737270.V550/424B-Yishun-Avenue-11-Sembawang-Yishun-Singapore.jpg,424B Yishun Avenue 11,https://www.propertyguru.com.sg/listing/hdb-for-sale-424b-yishun-avenue-11-500015384,1-room,16,500015384,https://www.propertyguru.com.sg/listing/hdb-for-sale-424b-yishun-avenue-11-500015384,"424B Yishun Avenue 11 HDB Flat For Sale at S$ 365,000 | PropertyGuru Singapore",active_listing
366A Sembawang Crescent,1,1,Built: 2018,48,500052996,FALSE,FALSE,1,1,516 sqft,HDB Flat,99-year Leasehold,Built: 2018,14 min (1.14 km) from NS11 Sembawang MRT Station,16 Mar 2026,408000,S$ 790.70 psf,S$ 790.70 psf,For Sale,S$ 790.70 psf,"Listed on Mar 16, 2026 (3d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500052996/UPHO.158979459.V550/366A-Sembawang-Crescent-Sembawang-Yishun-Singapore.jpg,366A Sembawang Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-366a-sembawang-crescent-500052996,1-room,17,500052996,https://www.propertyguru.com.sg/listing/hdb-for-sale-366a-sembawang-crescent-500052996,"366A Sembawang Crescent HDB Flat For Sale at S$ 399,000 | PropertyGuru Singapore",active_listing
366B Sembawang Crescent,1,1,Built: 2018,48,500064141,FALSE,FALSE,1,1,517 sqft,HDB Flat,99-year Leasehold,Built: 2018,14 min (1.19 km) from NS11 Sembawang MRT Station,16 Mar 2026,398000,S$ 769.83 psf,S$ 769.83 psf,For Sale,S$ 769.83 psf,"Listed on Mar 16, 2026 (3d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500064141/UPHO.158720971.V550/366B-Sembawang-Crescent-Sembawang-Yishun-Singapore.jpg,366B Sembawang Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-366b-sembawang-crescent-500064141,1-room,18,500064141,https://www.propertyguru.com.sg/listing/hdb-for-sale-366b-sembawang-crescent-500064141,"366B Sembawang Crescent HDB Flat For Sale at S$ 398,000 | PropertyGuru Singapore",active_listing
467C Bukit Batok West Avenue 9,1,1,Built: 2021,47,500075205,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2021,15 min (1.24 km) from JE2 Tengah Park MRT Station,15 Mar 2026,400000,S$ 790.51 psf,S$ 790.51 psf,For Sale,S$ 790.51 psf,"Listed on Mar 15, 2026 (3d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500075205/UPHO.158889109.V550/467C-Bukit-Batok-West-Avenue-9-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,467C Bukit Batok West Avenue 9,https://www.propertyguru.com.sg/listing/hdb-for-sale-467c-bukit-batok-west-avenue-9-500075205,1-room,19,500075205,https://www.propertyguru.com.sg/listing/hdb-for-sale-467c-bukit-batok-west-avenue-9-500075205,"467C Bukit Batok West Avenue 9 HDB Flat For Sale at S$ 400,000 | PropertyGuru Singapore",active_listing
48 Lower Delta Road,1,1,Built: 1964,42,60170502,FALSE,FALSE,1,1,452 sqft,HDB Flat,99-year Leasehold,Built: 1964,6 min (460 m) from EW17 Tiong Bahru MRT Station,14 Mar 2026,290000,S$ 641.59 psf,S$ 641.59 psf,For Sale,S$ 641.59 psf,"Listed on Mar 14, 2026 (4d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60170502/UPHO.157168874.V550/48-Lower-Delta-Road-Alexandra-Commonwealth-Singapore.jpg,48 Lower Delta Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-48-lower-delta-road-60170502,1-room,20,60170502,https://www.propertyguru.com.sg/listing/hdb-for-sale-48-lower-delta-road-60170502,"48 Lower Delta Road HDB Flat For Sale at S$ 288,888 | PropertyGuru Singapore",active_listing
55 Lorong 5 Toa Payoh,1,1,Built: 1967,43,60197299,FALSE,FALSE,1,1,463 sqft,HDB Flat,99-year Leasehold,Built: 1967,10 min (790 m) from NS18 Braddell MRT Station,13 Mar 2026,298000,S$ 643.63 psf,S$ 643.63 psf,For Sale,S$ 643.63 psf,"Listed on Mar 13, 2026 (5d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60197299/UPHO.157564676.V550/55-Lorong-5-Toa-Payoh-Balestier-Toa-Payoh-Singapore.jpg,55 Lorong 5 Toa Payoh,https://www.propertyguru.com.sg/listing/hdb-for-sale-55-lorong-5-toa-payoh-60197299,1-room,21,60197299,https://www.propertyguru.com.sg/listing/hdb-for-sale-55-lorong-5-toa-payoh-60197299,"55 Lorong 5 Toa Payoh HDB Flat For Sale at S$ 298,000 | PropertyGuru Singapore",active_listing
408B Northshore Drive,1,1,Built: 2021,47,500078139,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2021,3 min (250 m) from PW4 Samudera LRT Station,13 Mar 2026,445000,S$ 879.45 psf,S$ 879.45 psf,For Sale,S$ 879.45 psf,"Listed on Mar 13, 2026 (5d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500078139/UPHO.158936043.V550/408B-Northshore-Drive-Hougang-Punggol-Sengkang-Singapore.jpg,408B Northshore Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-408b-northshore-drive-500078139,1-room,22,500078139,https://www.propertyguru.com.sg/listing/hdb-for-sale-408b-northshore-drive-500078139,"408B Northshore Drive HDB Flat For Sale at S$ 445,000 | PropertyGuru Singapore",active_listing
35 Margaret Drive,1,1,Built: 2021,47,500048774,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2021,7 min (580 m) from EW19 Queenstown MRT Station,13 Mar 2026,599999,"S$ 1,185.77 psf","S$ 1,185.77 psf",For Sale,"S$ 1,185.77 psf","Listed on Mar 13, 2026 (6d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500048774/UPHO.158487022.V550/35-Margaret-Drive-Alexandra-Commonwealth-Singapore.jpg,35 Margaret Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-35-margaret-drive-500048774,1-room,23,500048774,https://www.propertyguru.com.sg/listing/hdb-for-sale-35-margaret-drive-500048774,"35 Margaret Drive HDB Flat For Sale at S$ 599,999 | PropertyGuru Singapore",active_listing
16 Taman Ho Swee,1,1,Built: 1963,49,500011312,FALSE,FALSE,1,1,528 sqft,HDB Flat,99-year Leasehold,Built: 1963,5 min (390 m) from TE16 Havelock MRT Station,19 Mar 2026,288888,S$ 547.14 psf,S$ 547.14 psf,For Sale,S$ 547.14 psf,"Listed on Mar 19, 2026 (52m ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500011312/UPHO.157636882.V550/16-Taman-Ho-Swee-Alexandra-Commonwealth-Singapore.jpg,16 Taman Ho Swee,https://www.propertyguru.com.sg/listing/hdb-for-sale-16-taman-ho-swee-500011312,1-room,24,500011312,https://www.propertyguru.com.sg/property-for-sale/at-16-taman-ho-swee-10522,16 Taman Ho Swee for Sale in Singapore,active_listing
990C Jurong West Street 93,1,1,Built: 2001,52,60223683,FALSE,FALSE,1,1,560 sqft,HDB Flat,99-year Leasehold,Built: 2001,7 min (590 m) from EW28 Pioneer MRT Station,19 Mar 2026,359900,S$ 642.68 psf,S$ 642.68 psf,For Sale,S$ 642.68 psf,"Listed on Mar 19, 2026 (3h ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60223683/UPHO.158188473.V550/990C-Jurong-West-Street-93-Boon-Lay-Jurong-Tuas-Singapore.jpg,990C Jurong West Street 93,https://www.propertyguru.com.sg/listing/hdb-for-sale-990c-jurong-west-street-93-60223683,1-room,25,60223683,https://www.propertyguru.com.sg/property-for-sale/at-990c-jurong-west-street-93-8004,990C Jurong West Street 93 for Sale in Singapore,active_listing
611 Clementi West Street 1,2,1,Built: 1983,74,500047881,FALSE,FALSE,1,2,796 sqft,HDB Flat,99-year Leasehold,Built: 1983,NA,19 Mar 2026,413111,S$ 518.98 psf,S$ 518.98 psf,For Sale,S$ 518.98 psf,"Listed on Mar 19, 2026 (5h ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500047881/UPHO.158473394.V550/611-Clementi-West-Street-1-Buona-Vista-West-Coast-Clementi-New-Town-Singapore.jpg,611 Clementi West Street 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-611-clementi-west-street-1-500047881,1-room,26,500047881,https://www.propertyguru.com.sg/listing/hdb-for-sale-611-clementi-west-street-1-500047881,"611 Clementi West Street 1 HDB Flat For Sale at S$ 413,111 | PropertyGuru Singapore",active_listing
990C Jurong West Street 93,1,1,Built: 2001,52,500076819,FALSE,FALSE,1,1,560 sqft,HDB Flat,99-year Leasehold,Built: 2001,7 min (590 m) from EW28 Pioneer MRT Station,19 Mar 2026,350000,S$ 625.00 psf,S$ 625.00 psf,For Sale,S$ 625.00 psf,"Listed on Mar 19, 2026 (5h ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500076819/UPHO.158914146.V550/990C-Jurong-West-Street-93-Boon-Lay-Jurong-Tuas-Singapore.jpg,990C Jurong West Street 93,https://www.propertyguru.com.sg/listing/hdb-for-sale-990c-jurong-west-street-93-500076819,1-room,27,500076819,https://www.propertyguru.com.sg/listing/hdb-for-sale-990c-jurong-west-street-93-500076819,"990C Jurong West Street 93 HDB Flat For Sale at S$ 350,000 | PropertyGuru Singapore",active_listing
131A Canberra Crescent,1,1,Built: 2019,38,500083921,FALSE,FALSE,1,1,409 sqft,HDB Flat,99-year Leasehold,Built: 2019,3 min (290 m) from NS12 Canberra MRT Station,19 Mar 2026,430000,"S$ 1,051.34 psf","S$ 1,051.34 psf",For Sale,"S$ 1,051.34 psf","Listed on Mar 19, 2026 (5h ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500083921/UPHO.159028456.V550/131A-Canberra-Crescent-Sembawang-Yishun-Singapore.jpg,131A Canberra Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-131a-canberra-crescent-500083921,1-room,28,500083921,https://www.propertyguru.com.sg/listing/hdb-for-sale-131a-canberra-crescent-500083921,"131A Canberra Crescent HDB Flat For Sale at S$ 430,000 | PropertyGuru Singapore",active_listing
82 Commonwealth Close,2,1,Built: 1964,46,500065799,FALSE,FALSE,1,2,495 sqft,HDB Flat,99-year Leasehold,Built: 1964,5 min (390 m) from EW20 Commonwealth MRT Station,18 Mar 2026,320000,S$ 646.46 psf,S$ 646.46 psf,For Sale,S$ 646.46 psf,"Listed on Mar 18, 2026 (18h ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500065799/UPHO.158746732.V550/82-Commonwealth-Close-Alexandra-Commonwealth-Singapore.jpg,82 Commonwealth Close,https://www.propertyguru.com.sg/listing/hdb-for-sale-82-commonwealth-close-500065799,1-room,29,500065799,https://www.propertyguru.com.sg/listing/hdb-for-sale-82-commonwealth-close-500065799,"82 Commonwealth Close HDB Flat For Sale at S$ 299,000 | PropertyGuru Singapore",active_listing
180A Rivervale Crescent,1,1,Built: 2012,47,500076432,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2012,7 min (560 m) from SE2 Rumbia LRT Station,18 Mar 2026,390000,S$ 770.75 psf,S$ 770.75 psf,For Sale,S$ 770.75 psf,"Listed on Mar 18, 2026 (23h ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500076432/UPHO.158908381.V550/180A-Rivervale-Crescent-Hougang-Punggol-Sengkang-Singapore.jpg,180A Rivervale Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-180a-rivervale-crescent-500076432,1-room,30,500076432,https://www.propertyguru.com.sg/property-for-sale/at-180a-rivervale-crescent-23074,180A Rivervale Crescent for Sale in Singapore,active_listing
440A Bukit Batok West Avenue 8,1,1,Built: 2017,37,500040678,FALSE,TRUE,1,1,398 sqft,HDB Flat,99-year Leasehold,Built: 2017,9 min (730 m) from JE2 Tengah Park MRT Station,18 Mar 2026,355000,S$ 891.96 psf,S$ 891.96 psf,For Sale,S$ 891.96 psf,"Listed on Mar 18, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500040678/UPHO.158363597.V550/440A-Bukit-Batok-West-Avenue-8-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,440A Bukit Batok West Avenue 8,https://www.propertyguru.com.sg/listing/hdb-for-sale-440a-bukit-batok-west-avenue-8-500040678,1-room,31,500040678,https://www.propertyguru.com.sg/listing/hdb-for-sale-440a-bukit-batok-west-avenue-8-500040678,"440A Bukit Batok West Avenue 8 HDB Flat For Sale at S$ 355,000 | PropertyGuru Singapore",active_listing
314 Ang Mo Kio Avenue 3,1,1,Built: 1978,44,500069212,FALSE,FALSE,1,1,473 sqft,HDB Flat,99-year Leasehold,Built: 1978,8 min (630 m) from NS16 Ang Mo Kio MRT Station,18 Mar 2026,328000,S$ 693.45 psf,S$ 693.45 psf,For Sale,S$ 693.45 psf,"Listed on Mar 18, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500069212/UPHO.158797914.V550/314-Ang-Mo-Kio-Avenue-3-Ang-Mo-Kio-Bishan-Thomson-Singapore.jpg,314 Ang Mo Kio Avenue 3,https://www.propertyguru.com.sg/listing/hdb-for-sale-314-ang-mo-kio-avenue-3-500069212,1-room,32,500069212,https://www.propertyguru.com.sg/listing/hdb-for-sale-314-ang-mo-kio-avenue-3-500069212,"314 Ang Mo Kio Avenue 3 HDB Flat For Sale at S$ 328,000 | PropertyGuru Singapore",active_listing
