BUS_STOP_NUM,Latitude,Longitude
96431,1.3177616003435673,104.01531756024853
96439,1.3176500796377675,104.01559407002748
01012,1.2969163850723693,103.85255464496007
01013,1.2977713262808217,103.85325504682737
01019,1.2969399206182077,103.85297664896702
01029,1.29669654818468,103.8543968575508
01039,1.2982157636748566,103.85552228968666
01059,1.3010999113248094,103.85641452993762
01109,1.3034967843370282,103.8567127657392
01112,1.3001223012822782,103.85519325734687
01113,1.3012388792195968,103.85616254493162
01119,1.2995215309492005,103.85508147141327
01121,1.3040316334377138,103.85878421385488
01129,1.3034756787436725,103.8586176959884
01139,1.3003738917154972,103.85720163714134
01211,1.3055490544468782,103.86056879083894
01219,1.305289430298201,103.86073846153333
01229,1.3033597735109834,103.85958824593644
01231,1.303351723245184,103.8610616161534
01239,1.3028501361648017,103.86164564754188
01311,1.3072675287186601,103.8623643075861
01319,1.3075505343856053,103.86327159139151
01329,1.3049204339935652,103.86357489073806
01339,1.3077164711672322,103.86428089865488
01341,1.306504907578397,103.86448894961222
01349,1.305617284789848,103.8654697250493
01411,1.3021247590228067,103.86295808757039
01419,1.3019295238182578,103.86319135850505
01421,1.3033632577398715,103.86479011977421
01429,1.3031556114427154,103.8649778755717
01511,1.299235588712357,103.85867049088797
01519,1.2990248655266625,103.85883684892659
01521,1.3009170517539996,103.86070332429044
01529,1.3003842631930809,103.86038723915628
01541,1.2989283469120692,103.85730555821972
01549,1.3006865704625463,103.85875874608081
01559,1.3016655271511977,103.85757404518189
01611,1.2953605403607207,103.85541716400958
01619,1.294236903284807,103.85500277774287
01621,1.2969835207481417,103.8565062384082
01629,1.296944136289934,103.85682860683342
01631,1.2969523138201642,103.8558101613508
01639,1.2973950863592305,103.8555981394183
02011,1.2886061183350461,103.85191890068401
02029,1.2887419024111688,103.85287594307958
02031,1.2916820255436257,103.85121568716612
02049,1.2944809464323945,103.85410661076028
02051,1.2895356588318503,103.85887138301568
02061,1.289933856878339,103.85643688344246
02089,1.291546523748411,103.85932641033574
02099,1.2913836326894528,103.86140084086365
02101,1.28937813791393,103.86179624708063
02111,1.2909904772128924,103.85454672769264
02119,1.2917846045407717,103.85527893013878
02141,1.2958417232745278,103.85936381638156
02149,1.295530653662188,103.85951844083468
02151,1.2932395299813944,103.85786931501956
02159,1.2935108844344774,103.85834943052362
02161,1.2926954885314823,103.86093532317429
02169,1.2933369739111613,103.86064266760259
02171,1.2907798717407275,103.86097258479509
02181,1.289354318479038,103.85114720027134
03011,1.2857049446687905,103.85336804399174
03019,1.2841509620112055,103.85312023089503
03021,1.2824969022453279,103.8499522560328
03031,1.2821619117517207,103.85091962963368
03041,1.2819118882192682,103.8488498361157
03059,1.2810686823031532,103.85139449518958
03071,1.2801970335238635,103.84953958672304
03111,1.278016757911421,103.84822268130807
03129,1.278378999234663,103.84973662187187
03151,1.2789100607215491,103.84773694152612
03211,1.2730253721239686,103.84663415139023
03217,1.2753726268328915,103.84782364317162
03218,1.2742172979520512,103.84699023921674
03219,1.2731794244491583,103.84696248068398
03222,1.2740233073907652,103.8449228832012
03223,1.2758179610484077,103.84638820571975
03239,1.2731265186650487,103.84894055257878
03241,1.2746600104362527,103.84545143374812
03331,1.2765941044446305,103.86083388081296
03339,1.2750186520971267,103.85944406584589
03341,1.2768515100022648,103.86410231649974
03349,1.2764610283736553,103.86443460238682
03369,1.279914304832589,103.86937229700645
03371,1.279460259183169,103.8672159629645
03381,1.2816118032259038,103.85308986055551
03391,1.280344686060779,103.85506090999381
03411,1.2716443341641517,103.86305936740305
03419,1.2712252629132672,103.86293063401696
03421,1.2664884328172907,103.85995314482527
03501,1.2852495263305705,103.8606492980111
03509,1.2831384057189013,103.86008534713758
03511,1.2820068919171994,103.85899874164184
03519,1.2812354814470777,103.8588107336849
03529,1.2793959946650464,103.85270123770184
03539,1.277512661120982,103.85558176721685
03561,1.2755875860249282,103.85403274849354
03569,1.2755064239942153,103.85378321800302
