stn_code,stn_name,address,postal_code,lat,lng
PW7,Soo Teck,21 PUNGGOL WAY,828864,1.40532331860455,103.897290522033
TE1,Woodlands North ,20 WOODLANDS NORTH COAST ROAD,737668,1.44829245259621,103.785692682441
TE2,Woodlands ,11 WOODLANDS SQUARE,737736,1.43605761708128,103.787938777173
TE3,Woodlands South ,30 WOODLANDS DRIVE 17,737741,1.42739605281442,103.79326432221
TE4,Springleaf,825 UPPER THOMSON ROAD,787140,1.39758106126824,103.817856949947
TE5,Lentor,1 LENTOR DRIVE,789361,1.38550657972169,103.835743809669
TE6,Mayflower,91 ANG MO KIO AVENUE 4,569900,1.37146318831015,103.836567766945
TE7,Bright Hill,100 SIN MING AVENUE,575737,1.36328318545185,103.832893619992
TE8,Upper Thomson,1 JALAN KELI,577937,1.35441643365401,103.832898468504
TE9,Caldecott,1 TOA PAYOH LINK,297608,1.33724561271722,103.840161782075
TE11,Stevens,82 STEVENS ROAD,257879,1.31933437435349,103.825566965234
TE12,Napier,2 NAPIER ROAD,258511,1.30678223364785,103.818956796815
TE13,Orchard Boulevard,20 ORCHARD BOULEVARD,248654,1.30242224836722,103.823868523249
TE14,Orchard,301 ORCHARD BOULEVARD,237974,1.30304426265194,103.831375000068
TE15,Great World,351 RIVER VALLEY ROAD,238384,1.29394816169384,103.833720837731
TE16,Havelock,110 ZION ROAD,168604,1.28850523975311,103.833585838226
TE17,Outram Park,13 OUTRAM ROAD,169080,1.28132964411173,103.839137557749
TE18,Maxwell,321 SOUTH BRIDGE ROAD,058841,1.28053329842878,103.843883670633
TE19,Shenton Way,2 PARK STREET,018928,1.2777168283425,103.850367596067
TE20,Marina Bay,25 PARK STREET,018929,1.27474173226842,103.855309167928
TE22,Gardens by the Bay,11 MARINA MALL,019396,1.27848725876303,103.867454664421
TE23,Tanjong Rhu,2 TANJONG RHU PLACE,436488,1.29726507940646,103.873453254621
TE24,Katong Park,45 MEYER ROAD,437870,1.29783147778951,103.886178949925
TE25,Tanjong Katong,2 AMBER ROAD,439846,1.29931925769899,103.897368742078
TE26,Marine Parade,101 MARINE PARADE ROAD,449971,1.30261163483383,103.904983086812
TE27,Marine Terrace,304 MARINE PARADE ROAD,449970,1.30666510344814,103.9151067005
TE28,Siglap,1000 MARINE PARADE ROAD,449969,1.31000869432289,103.930025826708
TE29,Bayshore,31 BAYSHORE ROAD,469958,1.31312248291264,103.942309776767
