name,lat,lng,full_address,block,street,postal_code,lic_no
COLD STORAGE SINGAPORE (1983) PTE LTD,1.341591083,103.6970201,"638 JURONG WEST STREET 61, Singapore 640638",638,JURONG WEST STREET 61,640638,SW05008N000
PRIME SUPERMARKET LIMITED,1.348726433,103.698292,"763 JURONG WEST STREET 75, Singapore 640763",763,JURONG WEST STREET 75,640763,J94081B000
SHENG SIONG SUPERMARKET PTE LTD,1.3473718,103.7436981,"154A BUKIT BATOK WEST AVENUE 8, Singapore 651154",154A,BUKIT BATOK WEST AVENUE 8,651154,C02033V000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.350189159,103.749022,"1 BUKIT BATOK CENTRAL LINK, Singapore 658713",1,BUKIT BATOK CENTRAL LINK,658713,C02046K000
TANESEI RETAILING PTE. LTD.,1.35236113,103.9437848,"2 TAMPINES CENTRAL 5, Singapore 529509",2,TAMPINES CENTRAL 5,529509,NE18406E000
LITTLE FARMS PTE. LTD.,1.276724932,103.8451554,"7 WALLICH STREET, Singapore 78884",7,WALLICH STREET,78884,CE16M43E000
MAHOTA FOOD PTE. LTD.,1.35236113,103.9437848,"2 TAMPINES CENTRAL 5, Singapore 529509",2,TAMPINES CENTRAL 5,529509,S02041P000
SHENG SIONG SUPERMARKET PTE LTD,1.30811887,103.7860494,"25 GHIM MOH LINK, Singapore 270025",25,GHIM MOH LINK,270025,SW12M64L000
SHENG SIONG SUPERMARKET PTE LTD,1.377892031,103.856412,"2 ANG MO KIO DRIVE, Singapore 567720",2,ANG MO KIO DRIVE,567720,CE12J32X000
ISYMI PTE LTD,1.355309033,103.8878572,"183 JALAN PELIKAT, Singapore 537643",183,JALAN PELIKAT,537643,NE18066E000
THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,1.314692141,103.8944805,"11 TANJONG KATONG ROAD, Singapore 437157",11,TANJONG KATONG ROAD,437157,SE18169X000
KADER HASNA MARICAN,1.333145775,103.6952481,"17 KIAN TECK LANE, Singapore 627851",17,KIAN TECK LANE,627851,J03027B000
"TANG KER AN, TIMOTHY",1.320625059,103.9347342,"18 BEDOK SOUTH ROAD, Singapore 460018",18,BEDOK SOUTH ROAD,460018,SE17401C000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.379047756,103.7729375,"256 BANGKIT ROAD, Singapore 670256",256,BANGKIT ROAD,670256,B02060V000
MM SUNDRY SHOP PTE.LTD.,1.454646548,103.8044767,"27 WOODLANDS SECTOR 1, Singapore 738252",27,WOODLANDS SECTOR 1,738252,NW07726J000
AL MARCHE PTE LTD,1.280769443,103.8526586,"2 MARINA BOULEVARD, Singapore 18987",2,MARINA BOULEVARD,18987,CE09874X000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.330817402,103.7956924,"1 FIFTH AVENUE, Singapore 268802",1,FIFTH AVENUE,268802,C02024A000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.310255422,103.7953504,"211 HOLLAND AVENUE, Singapore 278967",211,HOLLAND AVENUE,278967,W02066L000
THE ALASKA GUYS PTE. LTD.,1.312122477,103.911186,"201 TELOK KURAU ROAD, Singapore 423910",201,TELOK KURAU ROAD,423910,SE12D97J000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.440538149,103.8009776,"70 WOODLANDS AVENUE 7, Singapore 738344",70,WOODLANDS AVENUE 7,738344,NW08020K000
SHENG SIONG SUPERMARKET PTE LTD,1.388240215,103.7695754,"547 SEGAR ROAD, Singapore 670547",547,SEGAR ROAD,670547,NW15186C000
SHENG SIONG SUPERMARKET PTE LTD,1.39779874,103.8816988,"473 FERNVALE STREET, Singapore 790473",473,FERNVALE STREET,790473,CE16913J000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.400531143,103.9105369,"622D PUNGGOL CENTRAL, Singapore 824622",622D,PUNGGOL CENTRAL,824622,NE13M11K000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.282634377,103.8255958,"26 JALAN MEMBINA, Singapore 161026",26,JALAN MEMBINA,161026,CE11C49E000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.362674503,103.7641729,"4 HILLVIEW RISE, Singapore 667979",4,HILLVIEW RISE,667979,SW14542A000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.316544678,103.8942894,"845 GEYLANG ROAD, Singapore 400845",845,GEYLANG ROAD,400845,E02048C000
TANESEI RETAILING PTE. LTD.,1.30523472,103.9050149,"112 EAST COAST ROAD, Singapore 428802",112,EAST COAST ROAD,428802,SE11A69V000
SHENG SIONG SUPERMARKET PTE LTD,1.384005819,103.7710296,"446 FAJAR ROAD, Singapore 670446",446,FAJAR ROAD,670446,NW17421C000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.378056138,103.7389318,"475 CHOA CHU KANG AVENUE 3, Singapore 680475",475,CHOA CHU KANG AVENUE 3,680475,J02010E000
U STARS PTE. LTD.,1.374057967,103.7461601,"810 CHOA CHU KANG AVENUE 7, Singapore 680810",810,CHOA CHU KANG AVENUE 7,680810,SW16D52V000
FORTUNE SUPERMARKET PTE. LTD.,1.448341542,103.8010572,"780 WOODLANDS CRESCENT, Singapore 730780",780,WOODLANDS CRESCENT,730780,NW15220L000
HAO MART PTE. LTD.,1.450262017,103.8225347,"505 CANBERRA LINK, Singapore 750505",505,CANBERRA LINK,750505,NW16763X000
U STARS SUPERMARKET PTE. LTD.,1.40322712,103.895387,"218 SUMANG WALK, Singapore 820218",218,SUMANG WALK,820218,NE16747J000
SHENG SIONG SUPERMARKET PTE LTD,1.403719394,103.906138,"301 PUNGGOL CENTRAL, Singapore 820301",301,PUNGGOL CENTRAL,820301,NE09359K000
ANG MO SUPERMARKET PTE LTD,1.399461173,103.9160545,"639 PUNGGOL DRIVE, Singapore 820639",639,PUNGGOL DRIVE,820639,NE10113B000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.405660475,103.9119913,"671 EDGEFIELD PLAINS, Singapore 820671",671,EDGEFIELD PLAINS,820671,NE15611B000
SHENG SIONG SUPERMARKET PTE LTD,1.307785101,103.857011,"1 JALAN BERSEH, Singapore 209037",1,JALAN BERSEH,209037,E02140N000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.322573176,103.8142455,"501 BUKIT TIMAH ROAD, Singapore 259760",501,BUKIT TIMAH ROAD,259760,CE06464C000
CP MANAGEMENT SERVICES PRIVATE LIMITED,1.326743945,104.0035785,"80 TANAH MERAH COAST ROAD, Singapore 498820",80,TANAH MERAH COAST ROAD,498820,SE11799C000
VINAYAK TRADERS PTE. LTD.,1.319238114,103.7328825,"27 PENJURU WALK, Singapore 608538",27,PENJURU WALK,608538,SW14A33P000
TASTE (SINGAPORE) PRIVATE LIMITED,1.310529787,103.7961052,"118 HOLLAND AVENUE, Singapore 278997",118,HOLLAND AVENUE,278997,CE17174A000
SHENG SIONG SUPERMARKET PTE LTD,1.433031981,103.8416008,"18 YISHUN AVENUE 9, Singapore 768897",18,YISHUN AVENUE 9,768897,NW16388B000
PRIME SUPERMARKET (1996) PTE LTD,1.377439626,103.7443832,"253 CHOA CHU KANG AVENUE 1, Singapore 680253",253,CHOA CHU KANG AVENUE 1,680253,J02018L000
CAVEMEN PTE. LTD.,1.326965409,103.8436742,"1 JALAN DUSUN, Singapore 329363",1,JALAN DUSUN,329363,CE17A77E000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.307668615,103.8281644,"442 ORCHARD ROAD, Singapore 238879",442,ORCHARD ROAD,238879,CE15577J000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.301978047,103.8397589,"176 ORCHARD ROAD, Singapore 238843",176,ORCHARD ROAD,238843,W89166E000
PRIME SUPERMARKET (1996) PTE LTD,1.346764655,103.6788181,"50 NANYANG AVENUE, Singapore 639798",50,NANYANG AVENUE,639798,SW15D03B000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.312753299,103.9236579,"2 FIRST STREET, Singapore 458278",2,FIRST STREET,458278,SE13S89V000
MOHAMAD DAMAR HULAN BIN OSMAN,1.317149736,103.9039652,"212 CHANGI ROAD, Singapore 419735",212,CHANGI ROAD,419735,SE12H46E000
THE FOODSPREE PTE LTD,1.31290446,103.8997113,"162 JOO CHIAT ROAD, Singapore 427437",162,JOO CHIAT ROAD,427437,SE17760J000
HAO MART PTE. LTD.,1.307060675,103.9237697,"15 SIGLAP ROAD, Singapore 448912",15,SIGLAP ROAD,448912,SE06112L000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.331426856,103.9482571,"348 BEDOK ROAD, Singapore 469560",348,BEDOK ROAD,469560,E02047E000
SHENG SIONG SUPERMARKET PTE LTD,1.338242025,103.9233039,"739A BEDOK RESERVOIR ROAD, Singapore 471739",739A,BEDOK RESERVOIR ROAD,471739,S02048B000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.368998006,103.9586476,"440 PASIR RIS DRIVE 4, Singapore 510440",440,PASIR RIS DRIVE 4,510440,S02033P000
SHENG SIONG SUPERMARKET PTE LTD,1.369686248,103.9479224,"527D PASIR RIS STREET 51, Singapore 514527",527D,PASIR RIS STREET 51,514527,NE15276N000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.380850347,103.8793091,"982 BUANGKOK CRESCENT, Singapore 530982",982,BUANGKOK CRESCENT,530982,S02185J000
HONG HENG SENG,1.281197378,103.8434373,"5 BANDA STREET, Singapore 50005",5,BANDA STREET,50005,W02076J000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.335024304,103.7466382,"2 JURONG EAST STREET 21, Singapore 609601",2,JURONG EAST STREET 21,609601,C02026X000
U STARS SUPERMARKET PTE. LTD.,1.317702819,103.7690767,"345 CLEMENTI AVENUE 5, Singapore 120345",345,CLEMENTI AVENUE 5,120345,C02047J000
KEK HONG HENG,1.318009813,103.7319489,"23 PENJURU WALK, Singapore 608537",23,PENJURU WALK,608537,SW11512N000
LIM KING CHEW,1.362714462,103.8939805,"6 HOUGANG AVENUE 3, Singapore 530006",6,HOUGANG AVENUE 3,530006,S02025P000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.301191315,103.9051136,"80 MARINE PARADE ROAD, Singapore 449269",80,MARINE PARADE ROAD,449269,E02027N000
PRIME SUPERMARKET (1996) PTE LTD,1.320625059,103.9347342,"18 BEDOK SOUTH ROAD, Singapore 460018",18,BEDOK SOUTH ROAD,460018,E75097C000
SHENG SIONG SUPERMARKET PTE LTD,1.378297682,103.7540714,"18 TECK WHYE LANE, Singapore 680018",18,TECK WHYE LANE,680018,SW11423N000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.320000409,103.8873631,"118 ALJUNIED AVENUE 2, Singapore 380118",118,ALJUNIED AVENUE 2,380118,E02045K000
SHENG SIONG SUPERMARKET PTE LTD,1.339044798,103.8555411,"4 LORONG 7 TOA PAYOH, Singapore 310004",4,LORONG 7 TOA PAYOH,310004,S97079B000
MCP FAIRMART PTE LTD,1.33233468,103.9380513,"89 BEDOK NORTH STREET 4, Singapore 460089",89,BEDOK NORTH STREET 4,460089,SE04109X000
