,address,floor_area_sqm,asking_price,lat,lon,postal,full_address,town,lease_commence_date,remaining_lease,flat_type,storey_midpoint,storey_imputed,mall_1_name,mall_1_dist_m,mall_2_name,mall_2_dist_m,mall_3_name,mall_3_dist_m,school_1_name,school_1_dist_m,school_2_name,school_2_dist_m,school_3_name,school_3_dist_m,hawker_1_name,hawker_1_dist_m,hawker_2_name,hawker_2_dist_m,hawker_3_name,hawker_3_dist_m,polyclinic_1_name,polyclinic_1_dist_m,polyclinic_2_name,polyclinic_2_dist_m,polyclinic_3_name,polyclinic_3_dist_m,supermarket_1_name,supermarket_1_dist_m,supermarket_2_name,supermarket_2_dist_m,supermarket_3_name,supermarket_3_dist_m,train_1_name,train_1_dist_m,train_2_name,train_2_dist_m,train_3_name,train_3_dist_m,bus_1_name,bus_1_dist_m,bus_2_name,bus_2_dist_m,bus_3_name,bus_3_dist_m,num_mrt_within_1km,flag_mrt_within_500m,num_primary_schools_within_1km,num_hawkers_within_500m,num_bus_within_400m,dist_cbd,month_index,median_6m_similar,predicted_price,valuation_pct
550,288C Punggol Place,96,799000.0,1.40255090260619,103.903557130195,823288,288C PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 823288,PUNGGOL,2011,84,3 ROOM,11.0,True,Waterway Point,476,Oasis Terraces,1074,Punggol Plaza,1403,EDGEFIELD SECONDARY SCHOOL,238,PUNGGOL VIEW PRIMARY SCHOOL,339,PUNGGOL GREEN PRIMARY SCHOOL,537,One Punggol Hawker Centre,712,Punggol Coast Hawker Centre,1441,Anchorvale Village Hawker Centre,1799,Punggol Polyclinic,1046,Sengkang Polyclinic,1526,Hougang Polyclinic,3974,LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.,257,SHENG SIONG SUPERMARKET PTE LTD,315,NTUC FAIRPRICE CO-OPERATIVE LTD,612,Cove,451,Damai,635,Soo Teck,762,65219,84,65201,193,65221,217,8,1,5,0,15,14621.782488362314,110,548000.0,702453.0,13.74
551,118A Alkaff Crescent,93,1200000.0,1.33649028446747,103.873777299654,341118,118A ALKAFF CRESCENT ALKAFF LAKEVIEW SINGAPORE 341118,TOA PAYOH,2020,93,3 ROOM,8.0,True,NEX,1596,Nex,1596,HDB Hub,2852,CEDAR PRIMARY SCHOOL,225,CEDAR GIRLS' SECONDARY SCHOOL,304,MARIS STELLA HIGH SCHOOL,701,Woodleigh Village Hawker Centre,416,Circuit Road Blk 79/79A,1668,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),1723,Kallang Polyclinic,1447,Toa Payoh Polyclinic,1659,Geylang Polyclinic,2406,PRIME SUPERMARKET LIMITED,604,TAN PAK NANG,676,NTUC FAIRPRICE CO-OPERATIVE LTD,807,Woodleigh,445,Potong Pasir,774,Bartley,976,70061,134,70069,142,61111,223,3,1,1,1,6,6566.755077036597,110,386500.0,889634.0,34.89
552,157C Rivervale Crescent,112,640000.0,1.38775850187872,103.907729091751,543157,157C RIVERVALE CRESCENT RIVERVALE VIEW SINGAPORE 543157,SENGKANG,2001,74,3 ROOM,11.0,True,Punggol Plaza,932,Compass One,1486,Sengkang Grand Mall,1751,NORTH SPRING PRIMARY SCHOOL,509,RIVERVALE PRIMARY SCHOOL,714,CHIJ ST. JOSEPH'S CONVENT,735,Buangkok Hawker Centre,1751,One Punggol Hawker Centre,2351,Anchorvale Village Hawker Centre,2368,Sengkang Polyclinic,1635,Punggol Polyclinic,1749,Hougang Polyclinic,2876,NTUC FAIRPRICE CO-OPERATIVE LTD,612,NTUC FAIRPRICE CO-OPERATIVE LTD,755,NTUC FAIRPRICE CO-OPERATIVE LTD,922,Bakau,259,Rumbia,456,Kangkar,743,67521,101,67531,103,67539,126,4,1,4,0,11,13376.416114483001,110,541444.0,610823.0,4.78
553,264B Compassvale Bow,92,780000.0,1.38128630044125,103.896543354066,542264,264B COMPASSVALE BOW THE CORIS SINGAPORE 542264,SENGKANG,2005,78,3 ROOM,11.0,True,Sengkang Grand Mall,465,Hougang Mall,1011,Hougang Mall,1025,NORTH VISTA PRIMARY SCHOOL,144,NORTH VISTA SECONDARY SCHOOL,295,PUNGGOL PRIMARY SCHOOL,402,Buangkok Hawker Centre,465,Ci Yuan Hawker Centre,1652,Anchorvale Village Hawker Centre,1946,Sengkang Polyclinic,1312,Hougang Polyclinic,1518,Punggol Polyclinic,2991,COLD STORAGE SINGAPORE (1983) PTE LTD,96,NTUC FAIRPRICE CO-OPERATIVE LTD,347,NTUC FAIRPRICE CO-OPERATIVE LTD,676,Ranggung,336,Buangkok,419,Kangkar,698,65011,78,65019,112,67719,221,4,1,6,1,12,12153.63260547099,110,541444.0,653853.0,19.29
554,159 Yishun Street 11,121,609999.0,1.43279272238885,103.834028314438,760159,159 YISHUN STREET 11 CHONG PANG VISTA SINGAPORE 760159,YISHUN,1984,57,3 ROOM,5.0,True,Northpoint City,395,GV Yishun,420,Canberra Plaza,1259,AHMAD IBRAHIM PRIMARY SCHOOL,127,YISHUN PRIMARY SCHOOL,132,XISHAN PRIMARY SCHOOL,421,Chong Pang Hawker Centre & Market,597,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),628,Yishun Park Hawker Centre,1474,Yishun Polyclinic,634,Khatib Polyclinic,1092,Sembawang Polyclinic,1102,NTUC FAIRPRICE CO-OPERATIVE LTD,379,COLD STORAGE SINGAPORE (1983) PTE LTD,395,COLD STORAGE SINGAPORE (1983) PTE LTD,446,Yishun,388,Canberra,1241,Khatib,1717,59099,132,59091,169,59101,191,1,1,5,0,7,16670.017214228883,110,432500.0,600412.0,1.6
555,180 Yung Sheng Road,90,529000.0,1.33369142178284,103.72126635519,610180,180 YUNG SHENG ROAD CORPORATION SPRING SINGAPORE 610180,JURONG WEST,1999,72,3 ROOM,8.0,True,Jurong Point,1743,Westgate,2391,Jem,2447,JURONG SECONDARY SCHOOL,506,YUAN CHING SECONDARY SCHOOL,925,BOON LAY GARDEN PRIMARY SCHOOL,1381,Taman Jurong Market and Food Centre,120,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),1591,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1745,Jurong Polyclinic,2069,Pioneer Polyclinic,2532,Bukit Batok Polyclinic,3587,NTUC FAIRPRICE CO-OPERATIVE LTD,187,NTUC FAIRPRICE CO-OPERATIVE LTD,224,SHENG SIONG SUPERMARKET PTE LTD,1015,Lakeside,1176,Chinese Garden,1586,Boon Lay,1776,21199,92,21191,123,21591,177,0,0,0,1,11,15122.635617824993,110,400000.0,512175.0,3.29
556,660C Jurong West Street 64,91,590000.0,1.33666055209239,103.703730274149,643660,660C JURONG WEST STREET 64 SINGAPORE 643660,JURONG WEST,2000,73,3 ROOM,8.0,True,Jurong Point,452,Pioneer Mall,919,Gek Poh Shopping Centre,1500,JURONG WEST SECONDARY SCHOOL,239,FRONTIER PRIMARY SCHOOL,449,JURONG WEST PRIMARY SCHOOL,615,Jurong West Hawker Centre,884,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),1387,Taman Jurong Market and Food Centre,1996,Pioneer Polyclinic,565,Jurong Polyclinic,3333,Bukit Batok Polyclinic,5190,NTUC FAIRPRICE CO-OPERATIVE LTD,346,NTUC FAIRPRICE CO-OPERATIVE LTD,465,CHD @ SOON LEE PTE. LTD.,723,Boon Lay,338,Pioneer,720,Lakeside,2092,22491,133,22501,141,22501,143,2,1,2,0,12,17061.26271825793,110,400000.0,562165.0,4.95
557,140C Corporation Drive,93,680000.0,1.32754362846391,103.724285977296,613140,140C CORPORATION DRIVE YUNG HO SPRING I SINGAPORE 613140,JURONG WEST,2018,91,3 ROOM,8.0,True,Westgate,2182,Jem,2206,Jurong Point,2363,JURONG SECONDARY SCHOOL,278,YUAN CHING SECONDARY SCHOOL,1652,FUHUA PRIMARY SCHOOL,1654,Taman Jurong Market and Food Centre,853,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),2152,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),2184,Jurong Polyclinic,2567,Pioneer Polyclinic,3065,Bukit Batok Polyclinic,3775,SHENG SIONG SUPERMARKET PTE LTD,253,NTUC FAIRPRICE CO-OPERATIVE LTD,542,ARCHANA SUPERMARKET PTE. LTD.,830,Chinese Garden,1888,Lakeside,1895,Jurong East,2101,21761,114,21771,117,21769,119,0,0,0,0,13,14567.365122641162,110,400000.0,650065.0,4.6
558,532 Woodlands Drive 14,124,689999.0,1.43080005523895,103.792373236242,730532,532 WOODLANDS DRIVE 14 WOODLANDS VISTA SINGAPORE 730532,WOODLANDS,1997,70,3 ROOM,8.0,True,Causeway Point,921,Sun Plaza,3583,Sembawang Shopping Centre,3812,INNOVA PRIMARY SCHOOL,283,WOODGROVE PRIMARY SCHOOL,321,CHRIST CHURCH SECONDARY SCHOOL,486,Kampung Admiralty Hawker Centre,1361,Marsiling Mall Hawker Centre,1422,Marsiling Lane Blk 20/21,2210,Woodlands Polyclinic,1908,Sembawang Polyclinic,3769,Khatib Polyclinic,5067,COLD STORAGE SINGAPORE (1983) PTE LTD,116,NTUC FAIRPRICE CO-OPERATIVE LTD,215,SHENG SIONG SUPERMARKET PTE LTD,683,Woodlands South,391,Woodlands,765,Admiralty,1450,46969,40,46961,68,46951,134,3,1,5,0,13,17495.679247626696,110,418000.0,641512.0,7.56
559,38A Bendemeer Road,92,920000.0,1.32005797775204,103.866939439236,331038,38A BENDEMEER ROAD THE RIVER VISTA @ KALLANG SINGAPORE 331038,KALLANG,2012,85,3 ROOM,8.0,True,City Square Mall,1496,Mustafa Centre,1703,The Golden Mile,1936,BENDEMEER PRIMARY SCHOOL,259,BENDEMEER SECONDARY SCHOOL,859,HONG WEN SCHOOL,1052,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),375,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),446,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),764,Kallang Polyclinic,555,Toa Payoh Polyclinic,1833,Geylang Polyclinic,2249,NTUC FAIRPRICE CO-OPERATIVE LTD,354,NTUC FAIRPRICE CO-OPERATIVE LTD,397,SHENG SIONG SUPERMARKET PTE LTD,783,Geylang Bahru,539,Boon Keng,602,Bendemeer,836,60021,204,60139,239,60039,314,3,0,1,2,6,4593.374399957286,110,,884055.0,4.07
