,address,floor_area_sqm,asking_price,lat,lon,postal,full_address,town,lease_commence_date,remaining_lease,flat_type,storey_midpoint,storey_imputed,mall_1_name,mall_1_dist_m,mall_2_name,mall_2_dist_m,mall_3_name,mall_3_dist_m,school_1_name,school_1_dist_m,school_2_name,school_2_dist_m,school_3_name,school_3_dist_m,hawker_1_name,hawker_1_dist_m,hawker_2_name,hawker_2_dist_m,hawker_3_name,hawker_3_dist_m,polyclinic_1_name,polyclinic_1_dist_m,polyclinic_2_name,polyclinic_2_dist_m,polyclinic_3_name,polyclinic_3_dist_m,supermarket_1_name,supermarket_1_dist_m,supermarket_2_name,supermarket_2_dist_m,supermarket_3_name,supermarket_3_dist_m,train_1_name,train_1_dist_m,train_2_name,train_2_dist_m,train_3_name,train_3_dist_m,bus_1_name,bus_1_dist_m,bus_2_name,bus_2_dist_m,bus_3_name,bus_3_dist_m,num_mrt_within_1km,flag_mrt_within_500m,num_primary_schools_within_1km,num_hawkers_within_500m,num_bus_within_400m,dist_cbd,month_index,median_6m_similar,predicted_price,valuation_pct
0,451A Bukit Batok West Avenue 6,38,415000.0,1.35304899382254,103.742932562787,651451,451A BUKIT BATOK WEST AVENUE 6 WEST TERRA @ BUKIT BATOK SINGAPORE 651451,BUKIT BATOK,2018,91,1 ROOM,8.0,True,Le Quest,379,West Mall,778,Parc Point,961,MILLENNIA INSTITUTE,338,PRINCESS ELIZABETH PRIMARY SCHOOL,495,BUKIT BATOK SECONDARY SCHOOL,556,Bukit Batok West Hawker Centre,283,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1210,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1509,Bukit Batok Polyclinic,556,Jurong Polyclinic,1407,Choa Chu Kang Polyclinic,3372,SHENG SIONG SUPERMARKET PTE LTD,113,PRIME SUPERMARKET LIMITED,498,SHENG SIONG SUPERMARKET PTE LTD,501,Bukit Batok,862,Bukit Gombak,1163,Chinese Garden,1654,40301,48,40309,71,43539,186,1,0,2,1,8,13980.28812494575,110,,440898.0,-5.87
1,76 Telok Blangah Drive,44,328888.0,1.27438363830311,103.808741773193,100076,76 TELOK BLANGAH DRIVE SINGAPORE 100076,BUKIT MERAH,1977,50,1 ROOM,5.0,True,Alexandra Retail Centre,817,Queensway Shopping Centre,1585,HarbourFront Centre,1725,BLANGAH RISE PRIMARY SCHOOL,194,BUKIT MERAH SECONDARY SCHOOL,1362,GAN ENG SENG PRIMARY SCHOOL,1458,Telok Blangah Drive Blk 82 (Telok Blangah Market),108,Telok Blangah Hawker Centre & Market,131,Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),169,Bukit Merah Polyclinic,1395,Queenstown Polyclinic,2815,Outram Polyclinic,3342,NTUC FAIRPRICE CO-OPERATIVE LTD,113,NTUC FAIRPRICE CO-OPERATIVE LTD,763,NTUC FAIRPRICE CO-OPERATIVE LTD,850,Telok Blangah,424,Labrador Park,719,HarbourFront,1738,14329,75,14499,185,14491,202,2,1,1,3,13,4447.929632546389,110,271944.0,330314.0,-0.43
2,14 Taman Ho Swee,43,328888.0,1.28790461781044,103.83219770269,161014,14 TAMAN HO SWEE BUKIT HO SWEE VIEW SINGAPORE 161014,BUKIT MERAH,1970,43,1 ROOM,5.0,True,Tiong Bahru Plaza,598,Great World City,614,Great World,614,OUTRAM SECONDARY SCHOOL,569,ZHANGDE PRIMARY SCHOOL,807,RIVER VALLEY PRIMARY SCHOOL,817,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),286,Tiong Bahru Market,347,Zion Riverside Food Centre,506,Outram Polyclinic,1148,Bukit Merah Polyclinic,1754,Queenstown Polyclinic,3666,NTUC FAIRPRICE CO-OPERATIVE LTD,472,YOUR GROCER PRIVATE LIMITED,569,NTUC FAIRPRICE CO-OPERATIVE LTD,607,Havelock,168,Tiong Bahru,565,Great World,693,6081,152,6071,201,10149,219,3,1,3,2,11,1791.5876489867255,110,271944.0,338739.0,-2.91
3,468A Bukit Batok West Avenue 9,47,329999.0,1.35649522522916,103.742712657002,651468,468A BUKIT BATOK WEST AVENUE 9 WEST PLAINS @ BUKIT BATOK SINGAPORE 651468,BUKIT BATOK,2021,94,1 ROOM,8.0,True,Le Quest,187,Parc Point,635,Plantation Plaza,957,MILLENNIA INSTITUTE,698,DAZHONG PRIMARY SCHOOL,706,DUNEARN SECONDARY SCHOOL,819,Bukit Batok West Hawker Centre,136,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1548,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1736,Bukit Batok Polyclinic,756,Jurong Polyclinic,1532,Choa Chu Kang Polyclinic,3011,SHENG SIONG SUPERMARKET PTE LTD,389,SHENG SIONG SUPERMARKET PTE LTD,408,COLD STORAGE SINGAPORE (1983) PTE LTD,790,Bukit Gombak,1036,Bukit Batok,1126,Chinese Garden,1933,40379,142,40369,184,40371,185,0,0,2,1,9,14215.911246849482,110,,468613.0,-29.58
4,180D Rivervale Crescent,47,400000.0,1.3893584945611,103.910398123408,544180,180D RIVERVALE CRESCENT RIVERVALE ARC SINGAPORE 544180,SENGKANG,2013,86,1 ROOM,8.0,True,Punggol Plaza,617,Oasis Terraces,1525,Compass One,1730,MEE TOH SCHOOL,644,RIVERVALE PRIMARY SCHOOL,787,GREENDALE PRIMARY SCHOOL,821,Buangkok Hawker Centre,2089,One Punggol Hawker Centre,2233,Anchorvale Village Hawker Centre,2577,Punggol Polyclinic,1499,Sengkang Polyclinic,1872,Hougang Polyclinic,3215,NTUC FAIRPRICE CO-OPERATIVE LTD,608,NTUC FAIRPRICE CO-OPERATIVE LTD,731,PRIME SUPERMARKET LIMITED,815,Rumbia,545,Coral Edge,561,Bakau,574,67661,180,67529,262,67521,326,5,0,4,0,3,13679.658896883175,110,,428234.0,-6.59
5,232C Sumang Lane,47,430000.0,1.40203576124081,103.890116621791,823232,232C SUMANG LANE MATILDA COURT SINGAPORE 823232,PUNGGOL,2017,90,1 ROOM,8.0,True,Anchorvale Village,612,Compass One,1239,Waterway Point,1411,SPRINGDALE PRIMARY SCHOOL,755,YUSOF ISHAK SECONDARY SCHOOL,875,PUNGGOL GREEN PRIMARY SCHOOL,965,Anchorvale Village Hawker Centre,612,One Punggol Hawker Centre,1832,Fernvale Hawker Centre & Market,1852,Sengkang Polyclinic,1111,Punggol Polyclinic,2540,Hougang Polyclinic,3575,SHENG SIONG SUPERMARKET PTE LTD,316,U STARS SUPERMARKET PTE. LTD.,585,U STARS SUPERMARKET PTE. LTD.,601,Farmway,549,Cheng Lim,760,Soo Teck,877,65549,196,65541,207,67691,354,3,0,2,0,7,13998.601259314655,110,,447855.0,-3.99
6,96 Aljunied Crescent,55,368000.0,1.32165649786917,103.885423356978,380096,96 ALJUNIED CRESCENT SINGAPORE 380096,GEYLANG,1974,47,1 ROOM,8.0,True,Paya Lebar Square,856,Lot 1,948,Paya Lebar Quarter,991,GEYLANG METHODIST SCHOOL (PRIMARY),439,CANOSSA CATHOLIC PRIMARY SCHOOL,659,BROADRICK SECONDARY SCHOOL,1633,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),210,Circuit Road Blk 89,214,Circuit Road Blk 79/79A,551,Geylang Polyclinic,309,Kallang Polyclinic,1744,Eunos Polyclinic,1924,NTUC FAIRPRICE CO-OPERATIVE LTD,139,COLD STORAGE SINGAPORE (1983) PTE LTD,284,NTUC FAIRPRICE CO-OPERATIVE LTD,767,Mattar,629,Aljunied,645,MacPherson,739,70211,273,81211,317,81219,349,6,0,2,2,4,5965.51668652202,110,,387903.0,-5.13
7,460B Bukit Batok West Avenue 9,48,395000.0,1.35370592391877,103.739150308425,652460,460B BUKIT BATOK WEST AVENUE 9 WEST QUARRY @ BUKIT BATOK SINGAPORE 652460,BUKIT BATOK,2019,92,1 ROOM,8.0,True,Le Quest,332,Plantation Plaza,702,Parc Point,771,MILLENNIA INSTITUTE,464,PRINCESS ELIZABETH PRIMARY SCHOOL,531,BUKIT BATOK SECONDARY SCHOOL,611,Bukit Batok West Hawker Centre,379,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1147,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1239,Bukit Batok Polyclinic,982,Jurong Polyclinic,1037,Choa Chu Kang Polyclinic,3436,SHENG SIONG SUPERMARKET PTE LTD,225,SHENG SIONG SUPERMARKET PTE LTD,539,PRIME SUPERMARKET LIMITED,694,Bukit Batok,1269,Chinese Garden,1458,Bukit Gombak,1507,40341,105,40331,129,40349,135,0,0,3,1,14,14371.988842162715,110,,448246.0,-11.88
8,452 Yishun Ring Road,47,390000.0,1.42208264283536,103.84541571786,760452,452 YISHUN RING ROAD JADE SPRING @ YISHUN SINGAPORE 760452,YISHUN,2010,83,1 ROOM,8.0,True,GV Yishun,1322,Northpoint City,1366,Canberra Plaza,2911,NORTHBROOKS SECONDARY SCHOOL,144,NORTHLAND PRIMARY SCHOOL,521,HUAMIN PRIMARY SCHOOL,559,Yishun Park Hawker Centre,331,Chong Pang Hawker Centre & Market,2067,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),2146,Khatib Polyclinic,909,Yishun Polyclinic,1151,Sembawang Polyclinic,2218,SHENG SIONG SUPERMARKET PTE LTD,298,NTUC FAIRPRICE CO-OPERATIVE LTD,302,COLD STORAGE SINGAPORE (1983) PTE LTD,374,Yishun,1417,Khatib,1478,Canberra,2916,59639,190,59631,211,59461,219,0,0,4,1,10,15411.778862711199,110,,404252.0,-3.53
9,468B Bukit Batok West Avenue 9,38,385000.0,1.35686958198537,103.743161006143,652468,468B BUKIT BATOK WEST AVENUE 9 WEST PLAINS @ BUKIT BATOK SINGAPORE 652468,BUKIT BATOK,2021,94,1 ROOM,8.0,True,Le Quest,249,Parc Point,643,Plantation Plaza,1002,DAZHONG PRIMARY SCHOOL,644,MILLENNIA INSTITUTE,749,DUNEARN SECONDARY SCHOOL,766,Bukit Batok West Hawker Centre,199,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1605,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1801,Bukit Batok Polyclinic,748,Jurong Polyclinic,1595,Choa Chu Kang Polyclinic,2956,SHENG SIONG SUPERMARKET PTE LTD,435,SHENG SIONG SUPERMARKET PTE LTD,447,COLD STORAGE SINGAPORE (1983) PTE LTD,731,Bukit Gombak,979,Bukit Batok,1125,Chinese Garden,1996,40379,78,40371,137,40369,208,1,0,2,1,8,14198.89738067031,110,,446242.0,-13.72
10,226B Ang Mo Kio Avenue 1,66,438000.0,1.36732624025946,103.83955157933,562226,226B ANG MO KIO AVENUE 1 KEBUN BARU MALL SINGAPORE 562226,ANG MO KIO,1976,49,1 ROOM,8.0,True,AMK Hub,1018,Thomson Plaza,1703,Junction 8,2135,ANG MO KIO PRIMARY SCHOOL,222,ANG MO KIO SECONDARY SCHOOL,289,MAYFLOWER SECONDARY SCHOOL,478,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),54,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),73,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),802,Ang Mo Kio Polyclinic,1034,Toa Payoh Polyclinic,4242,Hougang Polyclinic,5504,NTUC FAIRPRICE CO-OPERATIVE LTD,246,SHENG SIONG SUPERMARKET PTE LTD,313,SHENG SIONG SUPERMARKET PTE LTD,534,Mayflower,567,Bright Hill,866,Ang Mo Kio,1149,54621,252,54229,256,54629,261,2,0,1,2,9,9364.963059292366,110,,456865.0,-4.13
11,436A Bukit Batok West Avenue 5,38,350000.0,1.35912883183507,103.739978327829,651436,436A BUKIT BATOK WEST AVENUE 5 WEST EDGE @ BUKIT BATOK SINGAPORE 651436,BUKIT BATOK,2019,92,1 ROOM,8.0,True,Parc Point,214,Le Quest,377,Plantation Plaza,667,DUNEARN SECONDARY SCHOOL,723,DAZHONG PRIMARY SCHOOL,944,PIONEER PRIMARY SCHOOL,955,Bukit Batok West Hawker Centre,471,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1757,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1781,Bukit Batok Polyclinic,1177,Jurong Polyclinic,1468,Choa Chu Kang Polyclinic,2847,SHENG SIONG SUPERMARKET PTE LTD,386,SHENG SIONG SUPERMARKET PTE LTD,808,COLD STORAGE SINGAPORE (1983) PTE LTD,1071,Bukit Gombak,1314,Bukit Batok,1548,Chinese Garden,2038,43789,64,43781,141,40361,233,0,0,2,1,8,14632.807481344196,110,,433224.0,-19.21
12,438C Bukit Batok West Avenue 8,38,360000.0,1.35775731757846,103.739408616622,653438,438C BUKIT BATOK WEST AVENUE 8 WEST EDGE @ BUKIT BATOK SINGAPORE 653438,BUKIT BATOK,2019,92,1 ROOM,8.0,True,Le Quest,278,Parc Point,327,Plantation Plaza,582,PIONEER PRIMARY SCHOOL,824,MILLENNIA INSTITUTE,862,DUNEARN SECONDARY SCHOOL,876,Bukit Batok West Hawker Centre,393,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1597,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1618,Bukit Batok Polyclinic,1132,Jurong Polyclinic,1316,Choa Chu Kang Polyclinic,3012,SHENG SIONG SUPERMARKET PTE LTD,227,SHENG SIONG SUPERMARKET PTE LTD,728,PRIME SUPERMARKET LIMITED,1085,Bukit Gombak,1380,Bukit Batok,1489,Chinese Garden,1873,40311,72,43789,144,43781,154,0,0,2,1,11,14597.883311124271,110,,434083.0,-17.07
13,421B Northshore Drive,38,390000.0,1.41924637367443,103.904704708435,822421,421B NORTHSHORE DRIVE NORTHSHORE STRAITSVIEW SINGAPORE 822421,PUNGGOL,2021,94,1 ROOM,8.0,True,Northshore Plaza II,402,Northshore Plaza I,402,Punggol Coast Mall,847,NORTHSHORE PRIMARY SCHOOL,104,PUNGGOL COVE PRIMARY SCHOOL,1068,VALOUR PRIMARY SCHOOL,1469,Punggol Coast Hawker Centre,677,One Punggol Hawker Centre,1169,Anchorvale Village Hawker Centre,3083,Punggol Polyclinic,2067,Sengkang Polyclinic,3178,Hougang Polyclinic,5757,GW TRADER PTE. LTD.,923,D-RON INVESTMENTS PTE. LTD.,1000,SHENG SIONG SUPERMARKET PTE LTD,1054,Punggol Point,343,Samudera,468,Teck Lee,750,65661,74,65639,181,65631,235,5,1,1,0,5,16370.523997475422,110,,456223.0,-14.52
14,10 Jalan Kukoh,53,338000.0,1.2869738344398,103.839075823483,162010,10 JALAN KUKOH CHIN SWEE VIEW SINGAPORE 162010,OUTRAM,1970,43,1 ROOM,8.0,True,People's Park Complex,496,The Majestic,523,People's Park Centre,561,OUTRAM SECONDARY SCHOOL,223,RIVER VALLEY PRIMARY SCHOOL,871,CANTONMENT PRIMARY SCHOOL,1283,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),169,New Market Road Blk 32 (People's Park Food Centre),455,Smith Street Blk 335 (Chinatown Complex Market),698,Outram Polyclinic,823,Bukit Merah Polyclinic,2485,Queenstown Polyclinic,4426,SHENG SIONG SUPERMARKET PTE LTD,279,FOODIE MARKET PLACE PTE. LTD.,568,IROHA INTERNATIONAL PTE. LTD.,662,Outram Park,628,Havelock,634,Chinatown,741,6039,80,6031,109,6161,248,10,0,1,2,7,1033.613683392472,110,,423933.0,-20.27
15,424B Yishun Avenue 11,47,365000.0,1.42324554532359,103.84854187629,762424,424B YISHUN AVENUE 11 ORCHID SPRING @ YISHUN SINGAPORE 762424,YISHUN,2014,87,1 ROOM,8.0,True,GV Yishun,1533,Northpoint City,1590,Canberra Plaza,3027,NORTHBROOKS SECONDARY SCHOOL,464,NORTH VIEW PRIMARY SCHOOL,468,HUAMIN PRIMARY SCHOOL,633,Yishun Park Hawker Centre,464,Chong Pang Hawker Centre & Market,2329,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),2403,Khatib Polyclinic,1242,Yishun Polyclinic,1306,Sembawang Polyclinic,2533,COLD STORAGE SINGAPORE (1983) PTE LTD,233,NTUC FAIRPRICE CO-OPERATIVE LTD,259,SHENG SIONG SUPERMARKET PTE LTD,652,Yishun,1655,Khatib,1849,Canberra,3041,59469,126,59461,181,59471,235,0,0,3,1,9,15539.277478086495,110,,419196.0,-12.93
16,366A Sembawang Crescent,48,408000.0,1.4438005069825,103.816211984803,751366,366A SEMBAWANG CRESCENT SUN BREEZE SINGAPORE 751366,SEMBAWANG,2018,91,1 ROOM,8.0,True,Sun Plaza,610,Sembawang Shopping Centre,984,Canberra Plaza,1571,SEMBAWANG SECONDARY SCHOOL,182,SEMBAWANG PRIMARY SCHOOL,590,CANBERRA PRIMARY SCHOOL,829,Bukit Canberra Hawker Centre,881,Kampung Admiralty Hawker Centre,1780,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1940,Sembawang Polyclinic,2174,Yishun Polyclinic,2959,Khatib Polyclinic,3256,NTUC FAIRPRICE CO-OPERATIVE LTD,611,NTUC FAIRPRICE CO-OPERATIVE LTD,696,COLD STORAGE SINGAPORE (1983) PTE LTD,729,Sembawang,723,Canberra,1502,Admiralty,1729,58289,121,58281,135,58571,230,1,0,2,0,8,18165.0400444921,110,,443406.0,-7.99
17,366B Sembawang Crescent,48,398000.0,1.44392167964017,103.815957543756,752366,366B SEMBAWANG CRESCENT SUN BREEZE SINGAPORE 752366,SEMBAWANG,2018,91,1 ROOM,8.0,True,Sun Plaza,617,Sembawang Shopping Centre,1015,Canberra Plaza,1600,SEMBAWANG SECONDARY SCHOOL,184,SEMBAWANG PRIMARY SCHOOL,612,CANBERRA PRIMARY SCHOOL,815,Bukit Canberra Hawker Centre,897,Kampung Admiralty Hawker Centre,1756,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1970,Sembawang Polyclinic,2200,Yishun Polyclinic,2991,Khatib Polyclinic,3286,NTUC FAIRPRICE CO-OPERATIVE LTD,617,NTUC FAIRPRICE CO-OPERATIVE LTD,695,COLD STORAGE SINGAPORE (1983) PTE LTD,707,Sembawang,729,Canberra,1531,Admiralty,1705,58289,106,58281,126,58571,253,1,0,2,0,8,18183.728990415966,110,,442744.0,-10.11
18,467C Bukit Batok West Avenue 9,47,400000.0,1.35592238075355,103.742551675133,653467,467C BUKIT BATOK WEST AVENUE 9 WEST PLAINS @ BUKIT BATOK SINGAPORE 653467,BUKIT BATOK,2021,94,1 ROOM,8.0,True,Le Quest,158,Parc Point,671,Plantation Plaza,950,MILLENNIA INSTITUTE,632,DAZHONG PRIMARY SCHOOL,751,PRINCESS ELIZABETH PRIMARY SCHOOL,776,Bukit Batok West Hawker Centre,75,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1483,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1679,Bukit Batok Polyclinic,729,Jurong Polyclinic,1485,Choa Chu Kang Polyclinic,3077,SHENG SIONG SUPERMARKET PTE LTD,356,SHENG SIONG SUPERMARKET PTE LTD,362,PRIME SUPERMARKET LIMITED,817,Bukit Gombak,1070,Bukit Batok,1093,Chinese Garden,1871,40359,194,40379,203,40351,206,0,0,2,1,11,14194.37335085056,110,,467999.0,-14.53
19,48 Lower Delta Road,42,290000.0,1.28944268125333,103.826201445621,160048,48 LOWER DELTA ROAD THE BEO CRESCENT SINGAPORE 160048,BUKIT MERAH,1964,37,1 ROOM,5.0,True,Tiong Bahru Plaza,344,Great World City,784,Great World,784,GAN ENG SENG SCHOOL,277,ALEXANDRA PRIMARY SCHOOL,289,ZHANGDE PRIMARY SCHOOL,582,Beo Crescent Market,145,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),414,Zion Riverside Food Centre,641,Bukit Merah Polyclinic,1201,Outram Polyclinic,1738,Queenstown Polyclinic,2981,NTUC FAIRPRICE CO-OPERATIVE LTD,76,YOUR GROCER PRIVATE LIMITED,181,NTUC FAIRPRICE CO-OPERATIVE LTD,341,Tiong Bahru,396,Havelock,827,Great World,975,10381,74,10389,95,10231,196,3,1,2,2,10,2479.597823686434,110,271944.0,339803.0,-14.66
20,55 Lorong 5 Toa Payoh,43,298000.0,1.33735976862599,103.85119779562,310055,55 LORONG 5 TOA PAYOH MY FIRST SKOOL SINGAPORE 310055,TOA PAYOH,1967,40,1 ROOM,8.0,True,HDB Hub,661,Junction 8,1484,Square 2,2010,KHENG CHENG SCHOOL,450,PEI CHUN PUBLIC SCHOOL,465,BEATTY SECONDARY SCHOOL,507,Toa Payoh Lorong 4 Blk 93,225,Toa Payoh Lorong 5 Blk 75,246,Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),325,Toa Payoh Polyclinic,923,Kallang Polyclinic,2553,Ang Mo Kio Polyclinic,4156,NTUC FAIRPRICE CO-OPERATIVE LTD,298,COLD STORAGE SINGAPORE (1983) PTE LTD,416,LIN POH LING,505,Braddell,599,Toa Payoh,667,Caldecott,1227,52291,119,52299,132,52279,150,2,0,3,4,13,6001.542443176026,110,,339368.0,-12.19
21,408B Northshore Drive,47,445000.0,1.41720536186439,103.903199687378,822408,408B NORTHSHORE DRIVE NORTHSHORE RESIDENCES II SINGAPORE 822408,PUNGGOL,2021,94,1 ROOM,8.0,True,Northshore Plaza I,134,Northshore Plaza II,225,Punggol Coast Mall,893,NORTHSHORE PRIMARY SCHOOL,255,PUNGGOL COVE PRIMARY SCHOOL,787,VALOUR PRIMARY SCHOOL,1192,Punggol Coast Hawker Centre,665,One Punggol Hawker Centre,966,Anchorvale Village Hawker Centre,2801,Punggol Polyclinic,1954,Sengkang Polyclinic,2905,Hougang Polyclinic,5491,GW TRADER PTE. LTD.,761,SHENG SIONG SUPERMARKET PTE LTD,777,D-RON INVESTMENTS PTE. LTD.,799,Samudera,186,Punggol Point,386,Teck Lee,620,65629,109,65621,130,65651,202,6,1,2,0,6,16096.642674638268,110,,490738.0,-9.32
22,35 Margaret Drive,47,599999.0,1.2975569618296,103.80505878194,140035,35 MARGARET DRIVE SKYRESIDENCE @ DAWSON SINGAPORE 140035,QUEENSTOWN,2021,94,1 ROOM,8.0,True,Dawson Place,849,Queensway Shopping Centre,1123,Holland Road Shopping Centre,1778,QUEENSTOWN PRIMARY SCHOOL,366,QUEENSWAY SECONDARY SCHOOL,434,NEW TOWN PRIMARY SCHOOL,619,Margaret Drive Hawker Centre,41,Mei Chin Road Blk 159 (Mei Chin Road Market),537,Tanglin Halt Hawker Centre & Market,815,Queenstown Polyclinic,467,Bukit Merah Polyclinic,2014,Outram Polyclinic,4205,SHENG SIONG SUPERMARKET PTE LTD,579,NTUC FAIRPRICE CO-OPERATIVE LTD,770,BLUEWATER SEAFOOD PTE. LTD.,812,Queenstown,353,Commonwealth,937,Redhill,1569,11489,100,11481,126,11159,156,2,1,2,1,10,4991.338666648122,110,,659449.0,-9.02
23,16 Taman Ho Swee,49,288888.0,1.2880016960752,103.831614592325,163016,16 TAMAN HO SWEE BUKIT HO SWEE VIEW SINGAPORE 163016,BUKIT MERAH,1963,36,1 ROOM,5.0,True,Tiong Bahru Plaza,539,Great World City,604,Great World,604,OUTRAM SECONDARY SCHOOL,635,ZHANGDE PRIMARY SCHOOL,758,RIVER VALLEY PRIMARY SCHOOL,844,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),221,Tiong Bahru Market,363,Beo Crescent Market,483,Outram Polyclinic,1197,Bukit Merah Polyclinic,1694,Queenstown Polyclinic,3602,NTUC FAIRPRICE CO-OPERATIVE LTD,439,YOUR GROCER PRIVATE LIMITED,504,NTUC FAIRPRICE CO-OPERATIVE LTD,548,Havelock,226,Tiong Bahru,509,Great World,701,6081,214,10141,252,10149,259,3,1,3,4,9,1856.9064448679,110,271944.0,353467.0,-18.27
24,990C Jurong West Street 93,52,359900.0,1.33559727850344,103.69448630919,643990,990C JURONG WEST STREET 93 SINGAPORE 643990,JURONG WEST,2001,74,1 ROOM,8.0,True,Pioneer Mall,741,Jurong Point,1422,Gek Poh Shopping Centre,1506,FRONTIER PRIMARY SCHOOL,587,JURONG WEST PRIMARY SCHOOL,623,JURONG WEST SECONDARY SCHOOL,847,Jurong West Hawker Centre,701,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),2300,Taman Jurong Market and Food Centre,3014,Pioneer Polyclinic,602,Jurong Polyclinic,4323,Bukit Batok Polyclinic,6204,KADER HASNA MARICAN,285,CHD @ SOON LEE PTE. LTD.,639,COLD STORAGE SINGAPORE (1983) PTE LTD,724,Pioneer,385,Boon Lay,1330,Joo Koon,1994,27529,85,27521,141,22471,155,1,1,2,0,13,17990.328551450675,110,,373318.0,-3.59
25,611 Clementi West Street 1,74,413111.0,1.3036973994055,103.769476900942,120611,611 CLEMENTI WEST STREET 1 SINGAPORE 120611,CLEMENTI,1983,56,1 ROOM,8.0,True,West Coast Plaza,402,The Clementi Mall,1366,Clementi Mall,1366,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,268,NAN HUA HIGH SCHOOL,500,KENT RIDGE SECONDARY SCHOOL,579,Clementi West Street 2 Blk 726,581,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),1196,Clementi Ave 3 Blk 448,1204,Clementi Polyclinic,1073,Queenstown Polyclinic,3547,Bukit Merah Polyclinic,5718,COLD STORAGE SINGAPORE (1983) PTE LTD,216,COLD STORAGE SINGAPORE (1983) PTE LTD,466,SHENG SIONG SUPERMARKET PTE LTD,651,Pasir Ris,589,Dover,1331,Clementi,1356,17121,124,17129,166,17191,226,1,0,0,0,5,8981.12933388696,110,,451546.0,-8.51
26,990C Jurong West Street 93,52,350000.0,1.33559727850344,103.69448630919,643990,990C JURONG WEST STREET 93 SINGAPORE 643990,JURONG WEST,2001,74,1 ROOM,8.0,True,Pioneer Mall,741,Jurong Point,1422,Gek Poh Shopping Centre,1506,FRONTIER PRIMARY SCHOOL,587,JURONG WEST PRIMARY SCHOOL,623,JURONG WEST SECONDARY SCHOOL,847,Jurong West Hawker Centre,701,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),2300,Taman Jurong Market and Food Centre,3014,Pioneer Polyclinic,602,Jurong Polyclinic,4323,Bukit Batok Polyclinic,6204,KADER HASNA MARICAN,285,CHD @ SOON LEE PTE. LTD.,639,COLD STORAGE SINGAPORE (1983) PTE LTD,724,Pioneer,385,Boon Lay,1330,Joo Koon,1994,27529,85,27521,141,22471,155,1,1,2,0,13,17990.328551450675,110,,373318.0,-6.25
27,131A Canberra Crescent,38,430000.0,1.44372597469524,103.831029801721,751131,131A CANBERRA CRESCENT EASTLINK I @ CANBERRA SINGAPORE 751131,SEMBAWANG,2019,92,1 ROOM,8.0,True,Canberra Plaza,80,Sembawang Shopping Centre,719,Sun Plaza,1374,AHMAD IBRAHIM SECONDARY SCHOOL,865,CHONGFU SCHOOL,1095,SEMBAWANG PRIMARY SCHOOL,1121,Bukit Canberra Hawker Centre,1048,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1393,Chong Pang Hawker Centre & Market,1449,Yishun Polyclinic,1741,Sembawang Polyclinic,1950,Khatib Polyclinic,2351,SHENG SIONG SUPERMARKET PTE LTD,591,COLD STORAGE SINGAPORE (1983) PTE LTD,758,PHAN NEE INVESTMENTS (S) PTE LTD,788,Canberra,164,Sembawang,1357,Yishun,1649,58541,127,58549,158,58531,227,1,1,0,0,7,17912.429671409747,110,,465019.0,-7.53
